epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,4463.53,0.03886,0.26245,0.87175,0.92043,0.95362,0.97042,0.96959,0.07703,0.22166,0.08765,0.000274,0.000274,0.000274
112,4503.78,0.03764,0.24609,0.87034,0.94364,0.94931,0.97087,0.97062,0.08557,0.21592,0.09591,0.0002674,0.0002674,0.0002674
113,4543.79,0.037,0.23855,0.87211,0.95536,0.93531,0.97895,0.97804,0.08492,0.23572,0.08886,0.0002608,0.0002608,0.0002608
114,4584.02,0.03924,0.2479,0.87226,0.94234,0.93904,0.98321,0.98301,0.07685,0.18891,0.08803,0.0002542,0.0002542,0.0002542
115,4624.14,0.03856,0.24594,0.86892,0.9172,0.93748,0.97667,0.97539,0.08799,0.23736,0.09309,0.0002476,0.0002476,0.0002476
116,4664.34,0.03631,0.23778,0.8707,0.93616,0.94431,0.98531,0.98508,0.08293,0.19427,0.0911,0.000241,0.000241,0.000241
117,4704.38,0.0364,0.24329,0.86876,0.9191,0.95922,0.97256,0.97221,0.07025,0.20033,0.08306,0.0002344,0.0002344,0.0002344
118,4744.52,0.03641,0.22932,0.87417,0.92557,0.9585,0.98029,0.97966,0.07107,0.20489,0.08403,0.0002278,0.0002278,0.0002278
119,4784.6,0.03615,0.24371,0.86804,0.92374,0.96931,0.97534,0.97497,0.08459,0.23947,0.09573,0.0002212,0.0002212,0.0002212
120,4824.88,0.03595,0.23809,0.87504,0.91636,0.94586,0.97404,0.97333,0.06017,0.27728,0.07753,0.0002146,0.0002146,0.0002146
121,4864.89,0.03564,0.24397,0.86652,0.95438,0.9549,0.97943,0.97853,0.05589,0.16692,0.07171,0.000208,0.000208,0.000208
122,4904.94,0.03356,0.23557,0.86714,0.90886,0.95095,0.97659,0.97649,0.05677,0.20621,0.07373,0.0002014,0.0002014,0.0002014
123,4945.02,0.03516,0.22545,0.87297,0.9291,0.96417,0.97701,0.9758,0.05798,0.18984,0.07612,0.0001948,0.0001948,0.0001948
124,4984.97,0.03308,0.22906,0.86668,0.9095,0.97029,0.97959,0.9792,0.08098,0.20256,0.09078,0.0001882,0.0001882,0.0001882
125,5025.16,0.03342,0.23892,0.86781,0.94456,0.93197,0.98108,0.98051,0.07126,0.21372,0.08311,0.0001816,0.0001816,0.0001816
126,5065.51,0.0329,0.22439,0.87247,0.9353,0.94045,0.97831,0.97771,0.08736,0.22501,0.09739,0.000175,0.000175,0.000175
127,5105.72,0.0335,0.23388,0.87279,0.93082,0.95532,0.97733,0.97705,0.07948,0.19959,0.08932,0.0001684,0.0001684,0.0001684
128,5145.87,0.03136,0.21974,0.87028,0.91137,0.96981,0.98003,0.97957,0.09263,0.20081,0.1014,0.0001618,0.0001618,0.0001618
129,5186.03,0.03092,0.22617,0.86787,0.94409,0.95108,0.98325,0.98241,0.07792,0.18447,0.08979,0.0001552,0.0001552,0.0001552
130,5226.2,0.03145,0.21515,0.87002,0.93213,0.95891,0.98036,0.97927,0.08073,0.18543,0.09211,0.0001486,0.0001486,0.0001486
131,5266.23,0.03082,0.21786,0.86849,0.93803,0.92445,0.97801,0.97661,0.07732,0.20947,0.09002,0.000142,0.000142,0.000142
132,5306.39,0.03035,0.22138,0.86603,0.94231,0.94848,0.97896,0.97819,0.07903,0.19348,0.0912,0.0001354,0.0001354,0.0001354
133,5346.56,0.03028,0.20932,0.86901,0.94807,0.94663,0.9802,0.97937,0.0745,0.18378,0.08934,0.0001288,0.0001288,0.0001288
